"word";"freq";"pos"
"sharp";16;"adjective"
"shocking";5;"adjective"
"shop";9;"noun"
"short";15;"adjective"
"shot";8;"noun"
"shoulder";19;"noun"
"shout";6;"noun"
"sight";10;"noun"
"silence";39;"noun"
"silent";18;"adjective"
"silly";12;"adjective"
"silver";13;"adjective"
"silver";13;"noun"
"simple";19;"adjective"
"sir";17;"noun"
"sky";24;"noun"
"sleep";6;"noun"
"slight";9;"adjective"
"slope";5;"noun"
"slow";32;"adjective"
"smell";5;"noun"
"smile";53;"noun"
"smoke";12;"noun"
"snow";15;"noun"
"society";13;"noun"
"solid";12;"adjective"
"solid";12;"noun"
"sort";43;"noun"
"soul";13;"noun"
"sound";5;"adjective"
"sound";5;"noun"
"space";7;"noun"
"special";8;"adjective"
"spectacles";23;"noun"
"speech";9;"noun"
"spirit";5;"noun"
"spoken";7;"adjective"
"spring";11;"noun"
"spy";6;"noun"
"square";33;"adjective"
"square";33;"noun"
"stair";10;"noun"
"stand";9;"noun"
"standing";20;"adjective"
"star";7;"noun"
"start";11;"noun"
"station";17;"noun"
"statue";6;"noun"
"steel";9;"noun"
"steep";5;"adjective"
"step";8;"noun"
"stick";16;"noun"
"stiff";5;"adjective"
"stone";15;"noun"
"story";8;"noun"
"straight";9;"adjective"
"strain";5;"noun"
"strange";27;"adjective"
"street";65;"noun"
"strike";13;"noun"
"strong";11;"adjective"
"subject";5;"adjective"
"subject";5;"noun"
"sudden";70;"adjective"
"sun";23;"noun"
"supreme";12;"adjective"
"surprise";13;"noun"
"suspicion";5;"noun"
"sword";25;"noun"
"symbol";8;"noun"
"table";44;"noun"
"tale";8;"noun"
"talk";23;"noun"
"tall";11;"adjective"
"taste";5;"noun"
"terrible";9;"adjective"
"terror";5;"noun"
"thinking";6;"noun"
"throat";5;"noun"
"tie";5;"noun"
"time";69;"noun"
"tomorrow";7;"noun"
"tone";5;"noun"
"touch";9;"noun"
"town";22;"noun"
"tragic";5;"adjective"
"train";33;"noun"
"tree";32;"noun"
"trick";5;"noun"
"trouble";5;"noun"
"true";20;"adjective"
"trust";12;"noun"
"truth";11;"noun"
"tune";5;"noun"
"twist";6;"noun"
"type";6;"noun"
"ultimate";5;"adjective"
"uniform";6;"noun"
"universe";12;"noun"
"unusual";5;"adjective"
"vague";14;"adjective"
"vast";8;"adjective"
"violence";7;"noun"
"violent";7;"adjective"
"virtue";8;"noun"
"voice";60;"noun"
"vote";5;"noun"
